ID,Level,col3,col4,col5,col6,col7,col8
373,3441.2953,57,28,1,f,1,a3Piu
374,3533.1944,57,28,2,f,1,a3Piu
375,3627.0423,57,28,3,f,1,a3Piu
376,3531.0904,59,29,1,e,1,a3Piu
377,3624.702,59,29,2,e,1,a3Piu
378,3722.6822,59,29,3,e,1,a3Piu
379,3623.44,61,30,1,f,1,a3Piu
380,3721.567,61,30,2,f,1,a3Piu
381,3821.5371,61,30,3,f,1,a3Piu
382,3719.5924,63,31,1,e,1,a3Piu
383,3819.2953,63,31,2,e,1,a3Piu
384,3923.5394,63,31,3,e,1,a3Piu
385,3818.1569,65,32,1,f,1,a3Piu
386,3922.5157,65,32,2,f,1,a3Piu
387,4028.5951,65,32,3,f,1,a3Piu
388,3920.6548,67,33,1,e,1,a3Piu
389,4026.4408,67,33,2,e,1,a3Piu
390,4136.9425,67,33,3,e,1,a3Piu
391,4025.411,69,34,1,f,1,a3Piu
392,4136.001,69,34,2,f,1,a3Piu
393,4248.1739,69,34,3,f,1,a3Piu
394,4134.2409,71,35,1,e,1,a3Piu
395,4246.0979,71,35,2,e,1,a3Piu
396,4362.8483,71,35,3,e,1,a3Piu
397,4245.1642,73,36,1,f,1,a3Piu
398,4361.9811,73,36,2,f,1,a3Piu
399,4480.2292,73,36,3,f,1,a3Piu
400,4360.311,75,37,1,e,1,a3Piu
401,4478.2236,75,37,2,e,1,a3Piu
402,4601.2115,75,37,3,e,1,a3Piu
403,4477.3754,77,38,1,f,1,a3Piu
404,4600.4118,77,38,2,f,1,a3Piu
405,4724.7144,77,38,3,f,1,a3Piu
406,4598.8227,79,39,1,e,1,a3Piu
407,4722.7725,79,39,2,e,1,a3Piu
408,4851.9845,79,39,3,e,1,a3Piu
409,4722.0009,81,40,1,f,1,a3Piu
410,4851.2465,81,40,2,f,1,a3Piu
411,4981.5807,81,40,3,f,1,a3Piu
412,4849.7307,83,41,1,e,1,a3Piu
413,4979.6966,83,41,2,e,1,a3Piu
414,5115.1175,83,41,3,e,1,a3Piu
415,4978.994,85,42,1,f,1,a3Piu
416,5114.4362,85,42,2,f,1,a3Piu
417,5250.7771,85,42,3,f,1,a3Piu
418,5112.987,87,43,1,e,1,a3Piu
419,5248.9458,87,43,2,e,1,a3Piu
420,5390.5584,87,43,3,e,1,a3Piu
421,5248.3056,89,44,1,f,1,a3Piu
422,5389.9294,89,44,2,f,1,a3Piu
423,5532.2502,89,44,3,f,1,a3Piu
424,5388.5412,91,45,1,e,1,a3Piu
425,5530.4672,91,45,2,e,1,a3Piu
426,5678.2528,91,45,3,e,1,a3Piu
427,5529.8838,93,46,1,f,1,a3Piu
428,5677.6721,93,46,2,f,1,a3Piu
429,5825.9444,93,46,3,f,1,a3Piu
430,5676.3399,95,47,1,e,1,a3Piu
431,5824.2058,95,47,2,e,1,a3Piu
432,5978.1437,95,47,3,e,1,a3Piu
433,5823.6742,97,48,1,f,1,a3Piu
434,5977.608,97,48,2,f,1,a3Piu
435,6131.8016,97,48,3,f,1,a3Piu
436,5976.3275,99,49,1,e,1,a3Piu
437,6130.1039,99,49,2,e,1,a3Piu
438,6290.1721,99,49,3,e,1,a3Piu
439,6129.6198,101,50,1,f,1,a3Piu
440,6289.6783,101,50,2,f,1,a3Piu
441,6449.7613,101,50,3,f,1,a3Piu
442,6288.4456,103,51,1,e,1,a3Piu
443,6448.1014,103,51,2,e,1,a3Piu
444,6614.2762,103,51,3,e,1,a3Piu
445,6447.661,105,52,1,f,1,a3Piu
446,6613.8216,105,52,2,f,1,a3Piu
447,6779.7606,105,52,3,f,1,a3Piu
448,6612.6334,107,53,1,e,1,a3Piu
449,6778.1358,107,53,2,e,1,a3Piu
450,6950.392,107,53,3,e,1,a3Piu
451,6777.7357,109,54,1,f,1,a3Piu
452,6949.9742,109,54,2,f,1,a3Piu
453,7121.7344,109,54,3,f,1,a3Piu
454,6948.8275,111,55,1,e,1,a3Piu
455,7120.1421,111,55,2,e,1,a3Piu
456,7298.4531,111,55,3,e,1,a3Piu
457,7119.7793,113,56,1,f,1,a3Piu
458,7298.0699,113,56,2,f,1,a3Piu
459,7475.6147,113,56,3,f,1,a3Piu
460,7296.9619,115,57,1,e,1,a3Piu
461,7474.0528,115,57,2,e,1,a3Piu
462,7658.3904,115,57,3,e,1,a3Piu
463,7473.7247,117,58,1,f,1,a3Piu
464,7658.0399,117,58,2,f,1,a3Piu
465,7841.3316,117,58,3,f,1,a3Piu
466,7656.9684,119,59,1,e,1,a3Piu
467,7839.7981,119,59,2,e,1,a3Piu
468,8030.1328,119,59,3,e,1,a3Piu
469,7839.5021,121,60,1,f,1,a3Piu
470,8029.8131,121,60,2,f,1,a3Piu
471,8218.8124,121,60,3,f,1,a3Piu
472,8028.7759,123,61,1,e,1,a3Piu
473,8217.3054,123,61,2,e,1,a3Piu
474,8413.6063,123,61,3,e,1,a3Piu
475,8217.0394,125,62,1,f,1,a3Piu
476,8413.3159,125,62,2,f,1,a3Piu
477,8607.9821,125,62,3,f,1,a3Piu
478,8412.311,127,63,1,e,1,a3Piu
479,8606.4999,127,63,2,e,1,a3Piu
480,8808.7347,127,63,3,e,1,a3Piu
481,8606.2619,129,64,1,f,1,a3Piu
482,8808.4721,129,64,2,f,1,a3Piu
483,9008.7631,129,64,3,f,1,a3Piu
484,8807.4978,131,65,1,e,1,a3Piu
485,9007.3043,131,65,2,e,1,a3Piu
486,9215.4394,131,65,3,e,1,a3Piu
487,9007.0925,133,66,1,f,1,a3Piu
488,9215.2032,133,66,2,f,1,a3Piu
489,9421.0756,133,66,3,f,1,a3Piu
490,9214.2578,135,67,1,e,1,a3Piu
491,9419.6387,135,67,2,e,1,a3Piu
492,9633.639,135,67,3,e,1,a3Piu
493,9419.4515,137,68,1,f,1,a3Piu
494,9633.4281,137,68,2,f,1,a3Piu
495,9844.837,137,68,3,f,1,a3Piu
496,9632.5103,139,69,1,e,1,a3Piu
497,9843.4208,139,69,2,e,1,a3Piu
498,10063.2501,139,69,3,e,1,a3Piu
499,9843.2568,141,70,1,f,1,a3Piu
500,10063.0632,141,70,2,f,1,a3Piu
501,10279.9627,141,70,3,f,1,a3Piu
502,10062.1716,143,71,1,e,1,a3Piu
503,10278.566,143,71,2,e,1,a3Piu
504,10504.1865,143,71,3,e,1,a3Piu
505,10278.4238,145,72,1,f,1,a3Piu
506,10504.0227,145,72,2,f,1,a3Piu
507,10726.3651,145,72,3,f,1,a3Piu
508,10503.1561,147,73,1,e,1,a3Piu
509,10724.9869,147,73,2,e,1,a3Piu
510,10956.3597,147,73,3,e,1,a3Piu
511,10724.8652,149,74,1,f,1,a3Piu
512,10956.218,149,74,2,f,1,a3Piu
513,11183.9546,149,74,3,f,1,a3Piu
514,10955.3752,151,75,1,e,1,a3Piu
515,11182.5938,151,75,2,e,1,a3Piu
516,11419.6787,151,75,3,e,1,a3Piu
517,11182.4915,153,76,1,f,1,a3Piu
518,11419.5581,153,76,2,f,1,a3Piu
519,11652.6389,153,76,3,f,1,a3Piu
520,11418.7382,155,77,1,e,1,a3Piu
521,11651.2946,155,77,2,e,1,a3Piu
522,11894.0499,155,77,3,e,1,a3Piu
523,11651.2106,157,78,1,f,1,a3Piu
524,11893.9497,157,78,2,f,1,a3Piu
525,12132.3232,157,78,3,f,1,a3Piu
526,11893.1517,159,79,1,e,1,a3Piu
527,12130.9946,159,79,2,e,1,a3Piu
528,12379.3774,159,79,3,e,1,a3Piu
529,12130.928,161,80,1,f,1,a3Piu
530,12379.2969,161,80,2,f,1,a3Piu
531,12622.9104,161,80,3,f,1,a3Piu
532,12378.5198,163,81,1,e,1,a3Piu
533,12621.5967,163,81,2,e,1,a3Piu
534,12875.5629,163,81,3,e,1,a3Piu
535,12621.5465,165,82,1,f,1,a3Piu
536,12875.5012,165,82,2,f,1,a3Piu
537,13124.3007,165,82,3,f,1,a3Piu
538,12874.7444,167,83,1,e,1,a3Piu
539,13123.0013,167,83,2,e,1,a3Piu
540,13382.5054,167,83,3,e,1,a3Piu
541,13122.9667,169,84,1,f,1,a3Piu
542,13382.4619,169,84,2,f,1,a3Piu
543,13636.3922,169,84,3,f,1,a3Piu
544,13381.7245,171,85,1,e,1,a3Piu
545,13635.1062,171,85,2,e,1,a3Piu
546,13900.1015,171,85,3,e,1,a3Piu
547,13635.0864,173,86,1,f,1,a3Piu
548,13900.0757,173,86,2,f,1,a3Piu
549,14159.0802,173,86,3,f,1,a3Piu
550,13899.357,175,87,1,e,1,a3Piu
551,14157.807,175,87,2,e,1,a3Piu
552,14428.2454,175,87,3,e,1,a3Piu
553,14157.8013,177,88,1,f,1,a3Piu
554,14428.2367,177,88,2,f,1,a3Piu
555,14692.2575,177,88,3,f,1,a3Piu
556,14427.5361,179,89,1,e,1,a3Piu
557,14690.9966,179,89,2,e,1,a3Piu
558,14966.8289,179,89,3,e,1,a3Piu
559,14691.0043,181,90,1,f,1,a3Piu
560,14966.8367,181,90,2,f,1,a3Piu
561,15235.8148,181,90,3,f,1,a3Piu
562,14966.1535,183,91,1,e,1,a3Piu
563,15234.5655,183,91,2,e,1,a3Piu
564,15515.7411,183,91,3,e,1,a3Piu
565,15234.5861,185,92,1,f,1,a3Piu
566,15515.765,185,92,2,f,1,a3Piu
567,15789.6399,185,92,3,f,1,a3Piu
568,15515.0987,187,93,1,e,1,a3Piu
569,15788.4017,187,93,2,e,1,a3Piu
570,16074.8689,187,93,3,e,1,a3Piu
571,15788.4345,189,94,1,f,1,a3Piu
572,16074.9083,189,94,2,f,1,a3Piu
573,16353.6184,189,94,3,f,1,a3Piu
574,16074.2583,191,95,1,e,1,a3Piu
575,16352.3909,191,95,2,e,1,a3Piu
576,16644.0965,191,95,3,e,1,a3Piu
577,16352.4353,193,96,1,f,1,a3Piu
578,16644.1509,193,96,2,f,1,a3Piu
579,16927.6333,193,96,3,f,1,a3Piu
580,16643.5168,195,97,1,e,1,a3Piu
581,16926.416,195,97,2,e,1,a3Piu
582,17223.3057,195,97,3,e,1,a3Piu
