id,energy,na,na,lifetime,na,na,na,na
308,2.30E+03,13,6,-1.00E+00,2,f,1,a3Piu
309,2.33E+03,13,6,-1.00E+00,3,f,1,a3Piu
310,2.29E+03,15,7,-1.00E+00,1,e,1,a3Piu
311,2.32E+03,15,7,-1.00E+00,2,e,1,a3Piu
312,2.35E+03,15,7,-1.00E+00,3,e,1,a3Piu
313,2.32E+03,17,8,-1.00E+00,1,f,1,a3Piu
314,2.35E+03,17,8,-1.00E+00,2,f,1,a3Piu
315,2.38E+03,17,8,-1.00E+00,3,f,1,a3Piu
316,2.34E+03,19,9,-1.00E+00,1,e,1,a3Piu
317,2.38E+03,19,9,-1.00E+00,2,e,1,a3Piu
318,2.41E+03,19,9,-1.00E+00,3,e,1,a3Piu
319,2.37E+03,21,10,-1.00E+00,1,f,1,a3Piu
320,2.41E+03,21,10,-1.00E+00,2,f,1,a3Piu
321,2.45E+03,21,10,-1.00E+00,3,f,1,a3Piu
322,2.40E+03,23,11,-1.00E+00,1,e,1,a3Piu
323,2.44E+03,23,11,-1.00E+00,2,e,1,a3Piu
324,2.49E+03,23,11,-1.00E+00,3,e,1,a3Piu
325,2.44E+03,25,12,-1.00E+00,1,f,1,a3Piu
326,2.48E+03,25,12,-1.00E+00,2,f,1,a3Piu
327,2.53E+03,25,12,-1.00E+00,3,f,1,a3Piu
328,2.48E+03,27,13,-1.00E+00,1,e,1,a3Piu
329,2.52E+03,27,13,-1.00E+00,2,e,1,a3Piu
330,2.57E+03,27,13,-1.00E+00,3,e,1,a3Piu
331,2.52E+03,29,14,-1.00E+00,1,f,1,a3Piu
332,2.57E+03,29,14,-1.00E+00,2,f,1,a3Piu
333,2.62E+03,29,14,-1.00E+00,3,f,1,a3Piu
334,2.57E+03,31,15,-1.00E+00,1,e,1,a3Piu
335,2.62E+03,31,15,-1.00E+00,2,e,1,a3Piu
336,2.67E+03,31,15,-1.00E+00,3,e,1,a3Piu
337,2.61E+03,33,16,-1.00E+00,1,f,1,a3Piu
338,2.67E+03,33,16,-1.00E+00,2,f,1,a3Piu
339,2.73E+03,33,16,-1.00E+00,3,f,1,a3Piu
340,2.67E+03,35,17,-1.00E+00,1,e,1,a3Piu
341,2.72E+03,35,17,-1.00E+00,2,e,1,a3Piu
342,2.78E+03,35,17,-1.00E+00,3,e,1,a3Piu
343,2.72E+03,37,18,-1.00E+00,1,f,1,a3Piu
344,2.78E+03,37,18,-1.00E+00,2,f,1,a3Piu
345,2.84E+03,37,18,-1.00E+00,3,f,1,a3Piu
346,2.78E+03,39,19,-1.00E+00,1,e,1,a3Piu
347,2.84E+03,39,19,-1.00E+00,2,e,1,a3Piu
348,2.91E+03,39,19,-1.00E+00,3,e,1,a3Piu
349,2.84E+03,41,20,-1.00E+00,1,f,1,a3Piu
350,2.91E+03,41,20,-1.00E+00,2,f,1,a3Piu
351,2.98E+03,41,20,-1.00E+00,3,f,1,a3Piu
352,2.90E+03,43,21,-1.00E+00,1,e,1,a3Piu
353,2.97E+03,43,21,-1.00E+00,2,e,1,a3Piu
354,3.05E+03,43,21,-1.00E+00,3,e,1,a3Piu
355,2.97E+03,45,22,-1.00E+00,1,f,1,a3Piu
356,3.04E+03,45,22,-1.00E+00,2,f,1,a3Piu
357,3.12E+03,45,22,-1.00E+00,3,f,1,a3Piu
358,3.04E+03,47,23,-1.00E+00,1,e,1,a3Piu
359,3.12E+03,47,23,-1.00E+00,2,e,1,a3Piu
360,3.20E+03,47,23,-1.00E+00,3,e,1,a3Piu
361,3.11E+03,49,24,-1.00E+00,1,f,1,a3Piu
362,3.19E+03,49,24,-1.00E+00,2,f,1,a3Piu
363,3.28E+03,49,24,-1.00E+00,3,f,1,a3Piu
364,3.19E+03,51,25,-1.00E+00,1,e,1,a3Piu
365,3.27E+03,51,25,-1.00E+00,2,e,1,a3Piu
366,3.36E+03,51,25,-1.00E+00,3,e,1,a3Piu
367,3.27E+03,53,26,-1.00E+00,1,f,1,a3Piu
